Date,Category,Item,"₹53,894.00",,,"₹55,356.00",,,,,,,,,,,
31/5/23,House Exp,snacks bana na,₹255.00,Gpay,Gpay,"₹34,632.00",,,,,,,,,,,
1/6/23,House Exp,,₹761.00,CC,CC,"₹15,172.00",,,,,,,,,,,
1/6/23,Milk,,₹54.00,CC,Cash,"₹2,532.00",,,Budget,Spent,Balance,,,,"₹150,000.00","₹155,467.00",
2/6/23,Fish,,₹440.00,Gpay,RINI,"₹3,020.00",,Total,"₹120,695.00","₹53,894.00","₹66,801.00",,Date,Item,In ,Out,
2/6/23,Land,plan drawing,"₹2,000.00",Gpay,,,,Food,"₹4,000.00",3924,₹76.00,,1/6/23,Salary,"₹150,000.00","₹15,172.00",credit card amount
2/6/23,House Exp,lulu,₹975.00,CC,,,,Fish,"₹3,000.00",2110,₹890.00,,2/6/23,axis  cc,,17532,
2/6/23,Others,toy,₹499.00,CC,,,,Shopping,"₹2,000.00",79,"₹1,921.00",,2/6/23,Plan exp,,2000,
3/6/23,Petrol,nitrogen bike,₹100.00,Gpay,,,,Petrol,"₹5,000.00",1414,"₹3,586.00",,2/6/23,cash withdrawal ,,5000,
3/6/23,House Exp,Grocery,₹25.00,Gpay,,,,Fixed Exp,"₹6,200.00",2200,"₹4,000.00",,2/6/23,to rini,,3020,
3/6/23,Fish,Chicken,₹340.00,Gpay,,,,Phone,"₹2,000.00",2147,-₹147.00,,,rent,,18000,
3/6/23,House Exp,ari,₹126.00,Gpay,,,,electric city,"₹1,000.00",0,"₹1,000.00",,,for daily exp,,10000,
3/6/23,House Exp,Biriyani ari,₹269.00,Gpay,,,,gas,"₹1,000.00",0,"₹1,000.00",,,loan,,40000,
3/6/23,Petrol,bike cleaning,₹400.00,Gpay,,,,rent,"₹18,000.00",17600,₹400.00,,6/6/23,kotak and sbi,,40043,
3/6/23,Others,watch repair,₹640.00,Gpay,,,,Pinchu Fixed,"₹2,000.00",2000,₹0.00,,7/6/23,house plan,,2500,
3/6/23,Petrol,car polution,₹130.00,Gpay,,,,Future Exp,"₹1,000.00",0,"₹1,000.00",,,,,2200,
3/6/23,Food,lime for me,₹20.00,Gpay,,,,Investment,"₹12,995.00",0,"₹12,995.00",,,,,,
3/6/23,Land,Deed attested,₹745.00,Gpay,,,,House Exp,"₹10,000.00",8182,"₹1,818.00",,,,,,
4/6/23,Food,hoy Punjab ,"₹1,522.00",CC,,,,Milk,"₹1,500.00",1326,₹174.00,,,,,,
4/6/23,House Exp,parking,₹30.00,Cash,,,,Loan,"₹40,000.00",0,"₹40,000.00",,,,,,
4/6/23,House Exp,bekery,₹522.00,CC,,,,Medical,"₹4,000.00",0,"₹4,000.00",,,,,0,
4/6/23,House Exp,lulu,"₹1,915.00",CC,,,,Others,"₹2,000.00",3167,"-₹1,167.00",,,,,,
5/6/23,Milk,,"₹1,020.00",RINI,,,,Land,"₹5,000.00",9745,-245,,,,,,
5/6/23,Pinchu Fixed,,"₹2,000.00",RINI,,,,,,,,,,,,,
5/6/23,Shopping,shoe polish,₹79.00,CC,,,,,,,,,,,,,
5/6/23,Phone,boradband,"₹1,058.00",CC,,,,,,,,,,,,,
5/6/23,Phone,phone,₹589.00,CC,,,,,,,,,,,,,
5/6/23,House Exp,jio mart,₹543.00,CC,till this cc paid to Rini account  8517,,,,,,,,,,,,
5/6/23,Food,food,₹90.00,Gpay,,,,,,,,,,,,,
5/6/23,Milk,,₹56.00,Gpay,,,,,,,,,,,,,
6/6/23,Fish,,₹220.00,Gpay,,,,,,,,,,,,,
6/6/23,Fish,,₹420.00,Gpay,,,,,,,,,,,,,
6/6/23,House Exp,,₹250.00,Gpay,,,,,,,,,,,,,
6/6/23,Milk,,₹56.00,Gpay,,,,,,,,,,,,,
7/6/23,Land,house plan,"₹2,500.00",Gpay,,,,,,,,,,,,,
7/6/23,rent,rent,"₹17,600.00",Gpay,,,,,,,,,,,,,
7/6/23,Food,pizza swiggy,₹254.00,CC,,,,,,,,,,,,,
8/6/23,Fixed Exp,sip,"₹2,200.00",Gpay,,,,,,,,,,,,,
8/6/23,House Exp,dry fruits ,₹550.00,CC,,,,,,,,,,,,,
8/6/23,House Exp,jio mart,₹400.00,CC,,,,,,,,,,,,,
8/6/23,Others,travel train,₹628.00,CC,,,,,,,,,,,,,
9/6/23,Fish,,₹310.00,Gpay,,,,,,,,,,,,,
9/6/23,Milk,,₹84.00,CC,,,,,,,,,,,,,
9/6/23,House Exp,,₹50.00,CC,,,,,,,,,,,,,
9/6/23,Land,exterior poab,"₹4,500.00",Gpay,,,,,,,,,,,,,
10/6/23,Fish,beef,₹380.00,Cash,,,,,,,,,,,,,
10/6/23,Petrol,bike,₹784.00,CC,,,,,,,,,,,,,
10/6/23,Food,bbq bation,"₹2,038.00",CC,,,,,,,,,,,,,
11/6/23,Others,stationary,₹960.00,CC,,,,,,,,,,,,,
11/6/23,House Exp,vegitables,₹340.00,Cash,,,,,,,,,,,,,
11/6/23,House Exp,navya bakery,₹726.00,CC,,,,,,,,,,,,,
11/6/23,House Exp,frits,₹320.00,Cash,,,,,,,,,,,,,
11/6/23,Phone,tata sky,₹500.00,Gpay,,,,,,,,,,,,,
12/6/23,Milk,Milk,₹56.00,CC,,,,,,,,,,,,,
12/6/23,House Exp,paneer,₹125.00,CC,,,,,,,,,,,,,
13/6/23,Others,dry clean,₹440.00,Gpay,,,,,,,,,,,,,
